""
10,Business Analyst - Healthcare,-1,"Elign Consulting is hiring a Business Analyst - Healthcare in Minneapolis, MN. This is a contract-to-hire opportunity.
Job Description:
The ideal candidate for this position is a strong Business Analyst with 5+ years of experience and at least 2-3 years of recent healthcare payor experience. This person will be working on the EDM team, so some EDM experience/knowledge is required.
In this role, they will be a leader in defining scope, high level process flows and business context for several projects of various sizes. They will be asked to define user stories and elicit high level and detailed requirements from business stakeholders. Some professional exposure to healthcare is required with experience in the healthcare payer space and experience with internal and external partners/users is preferred.",4.0,Elign Consulting,United States,1 to 50 Employees,Contract,Contract,Insurance,Unknown / Non-Applicable,-1
11,Business Analyst,Employer Provided Salary:$43 - $49 Per Hour,"Business Analyst
Full-Time, Contract, Pay Rate: $45 - $51/hr, Fully Remote
We are seeking a Business Analyst to be placed at our client, a high-tech giant in San Jose. This consultant can work fully remote and will work cross-functionally to support several different projects across the business. You will be part of a team that manages very successful customer programs and will support the key customer programs that drive education and training to achieve customer outcomes. You will mainly support the internal tool and the related support tool, Salesforce.
As a Business Analyst, you will develop creative solutions for real business challenges and help drive digital transformation. You will collaborate on multi-functional projects to identify areas for improvement. You will analyze internal processes, data and problems, and identify benefits from enabling new capabilities by using new & emerging digital technologies.",4.3,"Del Oro Consulting, Inc.",Remote,501 to 1000 Employees,Company - Private,Company - Private,-1,-1,-1
12,UiPath Business Process Analyst,-1,"UiPath Business Process Analyst
Remote, U.S",2.3,Global Technology Solutions,Remote,201 to 500 Employees,Contract,Contract,Information Technology,Unknown / Non-Applicable,-1
13,Business Analyst,-1,"Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions.
Leading ongoing reviews of business processes and developing optimization strategies.
Staying up-to-date on the latest process and IT advancements to automate and modernize systems.
Conducting meetings and presentations to share ideas and findings
Performing requirements analysis.
Documenting and communicating the results of your efforts.
Effectively communicating your insights and plans to cross-functional team members and management.
Gathering critical information from meetings with various stakeholders and producing useful reports.
Working closely with clients, technicians, and managerial staff.
Providing leadership, training, coaching, and guidance to junior staff.Allocating resources and maintaining cost efficiency.Ensuring solutions meet business needs and requirements.Performing user acceptance testing.Managing projects, developing project plans, and monitoring performance.Updating, implementing, and maintaining procedures.Prioritizing initiatives based on business needs and requirements.Serving as a liaison between stakeholders and users.Managing competing resources and priorities.Monitoring deliverables and ensuring timely completion of projects.",4.0,TCS,"Deerfield, IL",1 to 50 Employees,1947,1947,Telecommunications Services,Telecommunications,Unknown / Non-Applicable
14,Senior Business Analyst,-1,"IntegriChain is the data and application backbone for market access departments of Life Sciences manufacturers. We deliver the data, the applications, and the business process infrastructure for patient access and therapy commercialization. More than 250 manufacturers rely on our ICyte Platform to orchestrate their commercial and government payer contracting, patient services, and distribution channels. ICyte is the first and only platform that unites the financial, operational, and commercial data sets required to support therapy access in the era of specialty and precision medicine. With ICyte, Life Sciences innovators can digitalize their market access operations, freeing up resources to focus on more data-driven decision support. With ICyte, Life Sciences innovators are digitalizing labor-intensive processes – freeing up their best talent to identify and resolve coverage and availability hurdles and to manage pricing and forecasting complexity.

We are headquartered in Philadelphia, PA, with offices in Ambler, PA; Somerset, NJ, Raleigh, NC, and Pune, India. For more information, visit www.integrichain.com, or follow us on Twitter @IntegriChain and LinkedIn.",3.8,IntegriChain,Remote,201 to 500 Employees,2005,2005,IT Services,Information Technology,$10 to $25 million (USD)
15,BI Data Business Analyst,-1,"Brown Brothers Harriman is seeking a Systems Business Analyst to join its Business Intelligence and Enterprise Reporting Systems group. The Business Analyst will work as part of a project team, participating in any or all phases of the project life cycle, and is responsible for executing assigned project tasks in accordance with standards and best practices. The Business Analyst gathers and documents requirements, analyzes data, researches issues, and contributes to design solutions for the project. In addition, s/he may participate in the unit and system testing and existing applications as defined in a project plan.
Responsibilities:
Perform design analysis, research, and write/review technical specification documentation including data modelling, data flow diagramming, screen design, and workflow analysis
Initiate and facilitate all communication between business users and technical teams
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, national origin, age, genetic information, creed, marital status, sexual orientation, gender identity, disability status, protected veteran status, or any other protected status under federal, state or local law.
Full time
Boston",3.8,Brown Brothers Harriman,"East Boston, MA",1001 to 5000 Employees,1818,1818,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD)
16,SAP Business Analyst,Employer Provided Salary:$24 - $58 Per Hour,"POSITION: SAP Business Analyst
LOCATION: Remote
SUMMARY:
A Business Analyst conducts research, monitors, maintains, and optimizes business solutions.
Knowledge of business processes and SAP within a specific area(s) of responsibility, defined by the position. Directly support users and corporate processes in the assigned area. Researches gaps in functionality, gathers requirements of users and presents recommendations to teams both technical and business.
Excellent grasp of industry and subject matter best practices, trends, and concepts. Ability to apply these concepts into the SAP environment and business process. Strong Leadership skills, especially in the handling of Organization Change Management are strongly desired.",-1,Keasis Inc.,"Carlsbad, CA",-1,-1,-1,-1,-1,-1
17,"Analyst, Business Operations & Strategy",-1,"Are you ready to take your career to the next level? The Business Operations & Strategy team is responsible for identifying areas of improvement and driving the strategy behind those operational changes to deliver incremental and sustainable growth in user contribution, traffic, and revenue. As an Analyst, you will work cross-functionally with various segments of our business to support these initiatives. We work with our Sales organization to help design its incentive compensation system, pilot new products and price points to sell to business owners. We strategize with our Marketing team to identify new and more efficient ways to acquire new customers. We partner with our Community Management organization to help identify new ways to encourage contribution (e.g. reviews, photos) from Yelp users. We collaborate with our Product Teams to provide analysis needed to help determine the most impactful product priorities.

This is a full-time role based in the United States.",3.4,Yelp,Remote,5001 to 10000 Employees,2004,2004,Internet,Information Technology,$500 million to $1 billion (USD)
18,Foreign Exchange Business Analyst (Data Analytics),-1,"Foreign Exchange (FX) Business Analyst
At Brown Brothers Harriman, we believe no job is too big or small for any of us to handle if it helps our clients. We value passionate, committed people who enjoy collaborating with others to find new solutions to complex business challenges. We are looking for the type of person who speaks their mind, truly listens and steps outside their role to add value wherever they can. Someone who is driven to get things done and views obstacles as an exciting challenge that demands a creative solution. Above all, we seek someone who takes great pride in their work and is inspired and motivated by their role in protecting and enhancing our client’s financial well-being.
If you are looking for an entrepreneurial environment where you can learn and thrive, Brown Brothers Harriman is the right place for you.




We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, national origin, age, genetic information, creed, marital status, sexual orientation, gender identity, disability status, protected veteran status, or any other protected status under federal, state or local law.
Full time
New York",3.8,Brown Brothers Harriman,"New York, NY",1001 to 5000 Employees,1818,1818,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD)
19,Foreign Exchange Business Analyst (Data Analytics),Employer Provided Salary:$67 Per Hour,"Posting Date
11-21-2016
Job Category
IT Business Analyst
Primary Location
Ann Arbor, Michigan, USA
Job ID
16121
Requisition ID
16223
Travel
No
Job Schedule
Full Time - One Year Contract",-1,Brown Brothers Harriman,"New York, NY",Unknown,Company - Public,Company - Public,-1,-1,-1
20,Business Analyst,-1,"IntellectEU is a global leader in digital finance and emerging technologies, with offices in Kyiv, Lisbon, Viseu, Antwerp, Brussels, and New York. We focus on financial messaging and blockchain activities, offering strategic consultancy, operations support, and implementation services. Our blockchain practice is structured to focus on enterprise-grade blockchain frameworks to ensure the highest level of security, scalability, and reliability for our clients. These clients include market infrastructures (SIX, Euroclear, ASX - Australian Securities Exchange), financial institutions (BNP Paribas, ING, KBC, Belfius, Isabel Group, S&P Dow Jones Indices), insurance companies (AXA, Allianz, Baloise), and telco providers (Telindus, Ooredoo). We have expanded into offering products as well.

Required skills:
2+ years of BA experience in IT",4.9,IntellectEU,"Belgium, WI",51 to 200 Employees,2003,2003,IT Services,Information Technology,Unknown / Non-Applicable
21,business analyst with R & D Food industry,Employer Provided Salary:$82 Per Hour,"Education / Certifications/Work Experience:
B.S. in Food Science, Chemistry, or Analytical Chemistry, with at least 10 year of experience the food or related industry;
ideal candidate will have a combined experience of Product development, and integrated formula and specification management software systems.
Skills & Capabilities:
Experience with integrated formula and specification management software system (Product Vision preferred).
Proficiency in the use of Microsoft Office products, and high-level knowledge of computer functions.",4.3,infolob,"Plano, TX",51 to 200 Employees,Company - Private,Company - Private,Information Technology,$10 to $25 million (USD),-1
22,Agile Business Analyst,Employer Provided Salary:$90K - $105K,"About Us
Avantage is a new global entertainment brand focused on mobile and online gaming of sports and high-end table games. From the beginning our vision has been to become the People’s Choice of premium online gaming experiences.
About the Role
The Agile Business Analyst should be well-versed in Agile practices and ceremonies and will need to be a strong advocate for the end-user experience. This person will work closely with the product team and stakeholders as they continue to build out and develop solutions.
In addition to these activities, the Business Analyst will participate in quality assurance testing to ensure accuracy and adherence to requirements and programming specifications.
The Business Analyst will work closely with Product Owners to evangelize the product vision effectively to assigned teams and to stakeholders. As an Agile Business Analyst, you will translate business needs into user stories. This is a great opportunity to have a hand in providing direction with a team committed to making positive change to the organization.",-1,Avantage Entertainment,Remote,-1,-1,-1,-1,-1,-1
23,Business Analyst,Employer Provided Salary:$58 Per Hour,"Role: Business Analyst
Location: Sacramento, CA (Remote Role)
Duration: 6 Months+

Business Analysis
Must have familiarity with Public pension systems",3.7,Agama Solutions,"Sacramento, CA",51 to 200 Employees,Contract,Contract,Information Technology,$10 to $25 million (USD),-1
24,Business Analyst,Employer Provided Salary:$53 Per Hour,"REMOTE role with the potential of a possible occasional on-site meeting. Ongoing contract position working as part of a Managed Services team. IMMEDIATE NEED.
· 7+ years’ experience with IS/IT related projects.
· Familiar with traditional methods of requirements gathering, project monitoring, quality assurance, and quality control of project deliverables
· Will assist in partnering with and guiding users in formulating and clarifying problem issues and requirements
· Experience with agile/extreme/scrum project management methods is a plus
· Ability to apply requirements gathering techniques to complex computer systems and business needs",-1,Strategic Software Solutions,Remote,-1,-1,-1,-1,-1,-1
25,Business Systems Analyst - CRM,-1,"Location – Remote, Downtown
Estimated Contract Length – 6 months
Type – Contract

Job Description
Client is looking for a BA with SalesForce experience to work on a project moving a number of different CRMs (5 total) into one CRM (Salesforce). This revolves around a multi-year initiatives on changing how relationship are managed to improve client and vendor engagement.",4.7,Hollstadt & Associates,Remote,51 to 200 Employees,1990,1990,IT Services,Information Technology,$25 to $50 million (USD)
26,Business Analyst,-1,"As a member of our Business Analysis team, you'll play a crucial role in identifying, improving, and developing technology solutions that drive our strategic goals. This is a tremendous opportunity to learn about high-priority initiatives and collaborate with colleagues throughout the firm. Working at the intersection of business and technology, you'll sharpen your understanding of business processes and data analysis, while continuing to develop your leadership, management and communication skills. No matter where your career ultimately takes you, you'll make a meaningful impact and lasting connections with outstanding colleagues and mentors.
This role requires a wide variety of strengths and capabilities, including:

BS/BA degree or equivalent experience
A strong understanding of at least one business function in the firm, as well as a broader understanding of other areas
JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.",3.8,"JPMorgan Chase Bank, N.A.","Chicago, IL",10000+ Employees,1799,1799,Banks & Credit Unions,Finance,$10+ billion (USD)
27,Business Intelligence Analyst,Employer Provided Salary:$36 - $47 Per Hour,"The City of Charlotte is the largest municipality in North Carolina and the 17th largest city in the United States, with a total population of more than 872,498 citizens. A major commerce center, Charlotte hosts several of the nation’s largest banks and technology companies.
Also known as the Queen City, Charlotte is home to the Carolina Panthers, the Charlotte Hornets and the NASCAR Hall of Fame. We work hard to ensure that the community will be a winning city for everyone – a truly remarkable place to live, work, learn and play. Join us in helping to keep our City thriving, ensuring upward mobility and advancement in the workplace.
Function
This position develops and implements business intelligence solutions, administers the business intelligence applications and serves as member, and liaison for various interdepartmental groups and projects.",3.8,City of Charlotte and Mecklenburg County,"Charlotte, NC",5001 to 10000 Employees,1768,1768,Municipal Governments,Government,Unknown / Non-Applicable
28,Business Analyst (New or Recent Grad),-1,"Address:
120 S LaSalle Street
Job Family Group:
Data Analytics & Reporting
Consults on analytical solutions to understand, analyze, and synthesize requirements, goals and objectives relative to data and business intelligence needs and to enable high-quality, fact-based business decisions to drive better business outcomes. Provides advice on the configuration, functionality, applicability, and usability of data management, data analytics, and data visualization technology solutions. Supports the development of the strategy and roadmap for data quality and data analytics, data modeling, reporting, business intelligence, and the design and development of sophisticated decision support tools.",3.7,BMO Financial Group,"Chicago, IL",10000+ Employees,1882,1882,Banks & Credit Unions,Finance,$2 to $5 billion (USD)
29,"Analyst, Business, Jr - Remote",-1,"Position Description:
Summary:
The Jr. Business Analyst is responsible for analyzing and interpreting system data. This position additionally works with internal business units to procure any necessary information needed to track the loss analysis portfolio and produce reports for various team and management requirements.

Essential Job Functions may include:
Working on daily Adhoc requests to ensure timely and accurate distribution of data.
Assist with analyses, development, and enhancement of workflows/process to improve the efficiency of the department.",3.9,Freedom Mortgage,"South Jacksonville, FL",1001 to 5000 Employees,1990,1990,Investment Banking & Asset Management,Finance,$1 to $2 billion (USD)
30,Business Analyst,-1,"Elign Consulting is hiring a Business Analyst in Minneapolis, MN. This is a perm opportunity.
Job Description:
Develop detailed business requirements that meet the needs of internal and external stakeholders and support corporate objectives
You collaborate with operations teams to document, understand and analysis operational processes; make recommendations to improve efficiency and measure the results of those efforts
Manage projects associated with operational process improvement
Assist in the development of road maps and business strategy for client's assigned product or department
Act as the go-to resource to the rest of the organization on operational process improvement",4.0,Elign Consulting,"Minneapolis, MN",1 to 50 Employees,Contract,Contract,Insurance,Unknown / Non-Applicable,-1
31,Business Analyst,-1,"Location: Remote,USA
Tile - Business Analyst for Data Governace
At Wiley, we welcome you for who you are, the background you bring, and embrace individuals who get excited about learning whether online or by book. Learning is for everyone, and so is our workplace. Bring your experiences, your perspectives, and your passion. It is in our differences that we empower the way the world learns.
Wiley is seeking a Business Analyst for our Data Governance efforts to ensure the operational efficiency and excellence of our organization. Be part of an extraordinary opportunity to transform the higher education experience!
As a Business Analyst for Wiley’s Student Experience, you will design and document workflow processes and detailed system development requirements, as well as provide solutions to new business unit ideas, trends, and concepts appropriately through the latest technological paths. The business analyst must understand the customer’s business requirements and apply business process management to meet the customer’s needs.",3.9,Wiley,"Myrtle Point, OR",5001 to 10000 Employees,1807,1807,Publishing,Media,$1 to $2 billion (USD)
32,Business Systems Analyst,-1,"What makes Gartner a GREAT fit for you? When you join Gartner, you’ll be part of a team with a no-limits mindset that helps the world become smarter and more connected. We’re the world’s leading research and advisory company that steers clients toward the right decisions with business and technology insights they can’t find anywhere else. Our associates enjoy a collaborative work environment with exceptional training and career development. If you like working with a curious, supportive, high-performing team, Gartner is the place for you.
Interested in learning more, view and register for any of our upcoming recruiting events here!
Business Systems Analyst – Sales Deal Hub
When you join Gartner, you’ll be part of a fast-growing team that helps the world become smarter and more connected. We’re the leader in our industry, achieving double-digit growth by helping clients make the right decisions with business and technology insights they can’t find anywhere else. Our associates enjoy a collaborative work environment, exceptional training and career development — as well as unlimited growth potential. If you like working with a generous, supportive, high-performing team, Gartner is where you want to be.
Job Requisition ID:53799",3.8,Gartner,"Fort Myers, FL",10000+ Employees,1979,1979,Consulting,Business Services,$2 to $5 billion (USD)
33,Business Systems Analyst,-1,"What does a great Business Systems Analyst do?
The Business Systems Analyst (BSA) works as a liaison among the Professional Services stakeholders to elicit, analyze, communicate, manage and validate requirements for the creation of new or modification of existing processes, programs, products, policies and information systems. The BSA understands business problems and opportunities and helps stakeholders meet business needs, goals, and objectives.
You’re the type of person who:
Displays strong communication skills
Has excellent decision making and problem-solving skills
Possesses excellent time management skills including the ability to manage competing priorities",3.4,"Fiserv, Inc.","Frisco, TX",10000+ Employees,1984,1984,Financial Transaction Processing,Finance,$5 to $10 billion (USD)
34,Business Data Analyst,-1,"Cirrus Aircraft’s Mission is to deliver an aviation experience that is the pinnacle of innovation, quality, and safety to our customers. Cirrus Aircraft is the recognized global leader in personal aviation and the maker of the best-selling SR Series piston aircraft and the Vision Jet™, the world’s first single engine Personal Jet and recipient of the 2017 Robert J. Collier Trophy. Founded in 1984, the company has redefined performance, comfort and safety in aviation with innovations like the Cirrus Airframe Parachute System® (CAPS®) – the first FAA-certified whole-airframe parachute safety system included as standard equipment on an aircraft. To date, worldwide flight time on Cirrus aircraft has passed nine million hours and over 170 people have returned home safely to their families as a result of the inclusion of CAPS® as a standard feature on all Cirrus aircraft. Find out more at cirrusaircraft.com.
Cirrus offers a competitive benefits package and is dedicated to the advancement of general aviation. The Cirrus Flying Club offers employees and their family members the unique opportunity to obtain their private pilot’s license in the comfort of a Cirrus or rent a Cirrus for an impromptu adventure at a greatly reduced rate. We are committed to investing in the future of our employees and company by offering professional development and career progression opportunities and we engage employees by offering several employee and family events throughout the year, as well as the opportunity to take part in activity clubs and community events.",3.9,Cirrus Aircraft,"Duluth, MN",1001 to 5000 Employees,1994,1994,Transportation Equipment Manufacturing,Manufacturing,$100 to $500 million (USD)
35,FCII - Project Business Analyst I,-1,"Job Description
This position performs basic project accounting activities and assumes responsibility for maintenance of project-related ledger accounts.

Understand the activities being performed with respect to engineering and construction accounting methodology and company practices
Learn the required tasks and follow established written procedures and techniques to accomplish project accounting activities
Support and lead invoicing
Reconcile cost, hours, and billing",3.8,Fluor Corporation,"Franklin Furnace, OH",10000+ Employees,1890,1890,Construction,"Construction, Repair & Maintenance",$10+ billion (USD)
